State   ,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","State Population, 2008","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014"
Alabama,"140,810","143,768","141,900","139,001","131,046","579,880","571,291","562,959","539,664","531,085","212,316","216,714","224,496","224,173","236,484","43,136","42,774","42,933","41,869","45,005","26,599","24,724","26,423","30,308","42,369","4,677,464","4,708,708","4,785,401","4,802,740","4,817,528","4,833,722","4,849,377"
Alaska,"25,816","26,295","24,969","23,055","20,107","53,554","54,410","53,920","52,495","50,407","16,943","19,974","20,759","20,741","20,472","9,874","9,616","10,541","10,963","10,995","2,345","6,564","4,661","5,078","6,670","688,125","698,473","714,146","722,718","730,307","735,132","736,732"
Arizona,"208,873","199,343","193,214","182,501","172,955","655,498","661,437","662,564","646,946","643,672","231,674","261,119","274,857","290,027","300,236","45,772","42,161","41,671","42,946","38,768","12,403","23,732","27,554","23,688","23,231","6,499,377","6,595,778","6,413,158","6,482,505","6,551,149","6,626,624","6,731,484"
Arkansas,"94,107","93,461","94,293","89,777","83,263","351,950","352,818","348,909","332,497","326,088","155,258","158,053","162,018","166,376","170,905","43,974","51,644","55,787","67,630","73,901","17,494","21,841","26,217","41,946","45,837","2,867,764","2,889,450","2,921,588","2,937,979","2,949,828","2,959,373","2,966,369"
California,"1,439,006","1,466,564","1,472,468","1,431,881","1,349,419","3,175,063","3,281,699","3,333,410","3,291,182","3,240,323","1,172,714","1,288,211","1,396,437","1,514,293","1,594,942","327,838","327,358","363,002","451,490","502,638","95,080","115,689","104,428","114,691","115,841","36,580,371","36,961,664","37,338,198","37,691,912","37,999,878","38,332,521","38,802,500"
Colorado,"107,930","104,129","103,769","96,874","91,991","390,868","399,393","389,955","375,023","371,426","107,139","126,776","142,956","155,730","167,202","34,480","33,486","32,550","32,507","29,394","12,804","15,569","16,646","17,933","19,076","4,935,213","5,024,748","5,047,692","5,116,796","5,189,458","5,268,367","5,355,866"
Connecticut,"60,148","56,083","56,584","54,248","52,561","302,997","301,545","296,699","280,253","281,953","68,912","81,660","86,529","87,971","93,188","18,678","19,656","20,326","20,780","20,499","12,285","10,834","10,185","12,171","17,274","3,502,932","3,518,288","3,575,498","3,580,709","3,591,765","3,596,080","3,596,677"
Delaware,"24,028","22,553","22,214","20,797","19,813","90,073","94,722","96,040","94,571","94,985","33,202","36,699","38,624","39,522","41,185","15,773","18,991","18,367","19,016","18,973","10,727","9,129","14,366","8,190","7,018","876,211","885,122","899,792","907,135","917,053","925,749","935,614"
District of Columbia,"17,473","16,537","16,474","15,674","14,501","44,579","46,699","47,735","50,502","50,735","20,431","29,830","33,281","35,038","35,209","5,975","5,189","7,828","4,990","5,657","35,298","36,690","36,158","34,778","39,449","590,074","599,657","604,912","617,996","633,427","646,449","658,893"
Florida,"505,671","492,071","495,405","483,565","470,408","1,560,392","1,648,792","1,653,935","1,638,775","1,659,988","610,818","684,462","711,081","750,969","775,799","180,614","203,266","210,497","223,791","239,989","127,826","129,450","137,796","145,389","155,455","18,423,878","18,537,969","18,838,613","19,057,542","19,320,749","19,552,860","19,893,297"
Georgia,"499,213","469,456","303,875","289,524","271,418","1,290,996","1,301,069","1,287,033","1,245,368","1,236,251","564,627","600,642","620,655","608,138","626,697","140,053","138,093","135,300","138,074","133,280","68,454","75,890","84,202","71,557","98,045","9,697,838","9,829,211","9,712,157","9,815,210","9,915,646","9,992,167","10,097,343"
Hawaii,"36,320","36,753","37,169","36,370","33,923","103,807","115,694","113,618","113,609","113,748","35,946","35,847","38,943","38,466","37,479","9,460","9,757","10,069","10,123","10,732","5,836","3,169","5,134","5,324","6,010","1,287,481","1,295,178","1,363,359","1,374,810","1,390,090","1,404,054","1,419,561"
Idaho,"46,175","44,020","43,751","43,292","41,423","170,003","170,852","170,127","160,189","157,646","70,830","74,902","77,706","75,368","75,382","9,677","8,879","8,546","10,696","10,713","22,625","21,744","21,114","20,959","26,932","1,527,506","1,545,801","1,571,102","1,584,985","1,595,590","1,612,136","1,634,464"
Illinois,"309,870","295,409","288,939","280,463","265,923","1,148,891","1,162,998","1,142,443","1,124,196","1,058,351","293,385","357,551","395,045","416,091","384,000","124,146","130,757","127,321","129,086","131,977","50,389","52,556","55,586","54,067","69,172","12,842,954","12,910,409","12,841,980","12,869,257","12,868,192","12,882,135","12,880,580"
Indiana,"170,137","167,875","164,281","159,525","155,323","788,167","807,689","801,376","781,172","771,980","210,886","240,077","256,202","259,036","259,518","61,253","66,495","71,209","79,035","68,074","55,113","55,785","54,466","58,664","66,164","6,388,309","6,423,113","6,490,622","6,516,922","6,537,782","6,570,902","6,596,855"
Iowa,"75,645","70,931","69,159","65,876","63,767","394,391","396,894","395,600","384,211","382,824","84,554","88,514","93,108","94,781","93,739","37,532","38,946","38,916","38,978","38,467","10,346","11,122","11,109","13,607","16,016","2,993,987","3,007,856","3,050,202","3,062,309","3,075,039","3,090,416","3,107,126"
Kansas,"76,989","75,212","74,761","70,615","65,699","356,495","362,152","361,686","348,152","344,652","96,299","102,502","107,459","111,453","112,958","47,310","48,656","49,973","47,874","46,373","17,632","20,262","20,026","25,237","25,597","2,797,375","2,818,747","2,859,143","2,871,238","2,885,398","2,893,957","2,904,021"
Kentucky,"141,768","141,648","132,698","129,923","121,682","570,755","553,819","549,534","532,791","529,553","238,782","252,111","269,771","276,997","278,723","45,763","46,954","47,689","52,232","55,502","55,312","39,769","33,091","20,189","33,222","4,287,931","4,314,113","4,347,223","4,369,356","4,379,730","4,395,295","4,413,457"
Louisiana,"148,747","150,051","145,346","139,856","130,399","586,936","595,046","588,506","565,263","554,414","243,815","261,009","267,443","265,629","263,714","59,010","63,075","63,843","64,583","91,798","26,640","32,134","32,216","40,912","39,846","4,451,513","4,492,076","4,545,343","4,574,836","4,602,134","4,625,470","4,649,676"
Maine,"26,663","26,267","25,690","24,380","22,947","107,734","109,302","107,213","100,839","98,768","37,150","41,319","44,366","44,986","46,708","12,288","11,916","11,089","10,639","10,300","6,926","8,651","9,169","10,553","11,756","1,319,691","1,318,301","1,327,379","1,328,188","1,328,501","1,328,302","1,330,089"
Maryland,"146,411","147,421","146,272","144,628","140,467","432,643","435,111","434,140","422,746","423,347","154,317","169,116","191,429","211,676","235,795","47,099","45,126","57,085","64,500","68,937","50,239","54,981","57,720","73,830","59,463","5,658,655","5,699,478","5,785,681","5,828,289","5,884,868","5,928,814","5,976,407"
Massachusetts,"127,944","119,099","122,568","119,952","115,115","547,582","542,347","534,456","514,436","509,442","134,914","143,363","149,885","151,474","155,859","56,230","59,673","63,771","66,777","69,980","50,586","53,239","48,764","46,751","49,027","6,543,595","6,593,587","6,555,466","6,587,536","6,645,303","6,692,824","6,745,408"
Michigan,"243,275","252,705","255,954","254,126","251,716","911,466","910,341","907,684","874,098","860,651","282,037","351,514","379,452","381,516","388,743","83,781","84,935","82,241","79,846","82,899","59,690","61,539","73,133","76,198","82,963","10,002,486","9,969,727","9,877,143","9,876,187","9,882,519","9,895,622","9,909,877"
Minnesota,"141,598","131,255","128,436","124,745","121,723","615,043","631,230","627,280","608,867","612,315","142,628","169,939","179,640","181,891","188,554","93,422","95,482","94,086","90,492","86,097","54,569","39,269","45,834","45,966","50,158","5,230,567","5,266,214","5,310,658","5,344,861","5,379,646","5,420,380","5,457,173"
Mississippi,"111,478","97,277","94,773","91,652","87,973","405,716","400,490","398,654","391,574","389,316","199,880","203,825","207,859","207,305","206,827","38,121","41,350","41,387","41,517","41,463","22,745","27,456","28,027","26,916","34,225","2,940,212","2,951,996","2,970,072","2,978,512","2,986,450","2,991,207","2,994,079"
Missouri,"150,145","145,767","145,900","140,821","138,657","645,262","646,161","638,943","610,370","604,268","235,682","242,192","257,271","263,352","271,205","62,896","67,779","68,446","67,817","61,024","34,698","33,520","27,147","27,008","39,334","5,956,335","5,987,580","5,995,715","6,010,688","6,024,522","6,044,171","6,063,589"
Montana,"20,673","20,164","20,457","19,848","19,227","86,652","87,622","86,705","84,069","83,247","25,594","27,569","28,134","28,155","28,939","13,741","15,056","13,511","13,373","12,909","6,711","7,034","6,663","7,615","9,232","968,035","974,989","990,958","998,199","1,005,494","1,015,165","1,023,579"
Nebraska,"45,585","43,563","42,727","40,151","39,211","243,466","250,190","251,186","243,120","240,492","58,000","63,594","66,641","66,556","68,146","41,074","43,892","44,633","45,305","45,278","8,333","10,565","9,836","9,879","9,635","1,781,949","1,796,619","1,830,141","1,842,641","1,855,350","1,868,516","1,881,503"
Nevada,"67,829","75,676","76,108","75,011","74,262","183,808","212,555","218,552","215,821","212,140","55,873","63,732","87,213","92,738","90,680","10,253","12,302","13,842","14,492","12,934","5,630","7,094","6,865","9,716","9,716","2,615,772","2,643,085","2,704,283","2,723,322","2,754,354","2,790,136","2,839,099"
New Hampshire,"18,362","17,048","16,299","15,679","14,736","110,811","107,790","104,546","97,396","91,577","22,006","24,511","24,251","22,497","21,938","7,092","9,148","7,979","8,689","8,965","4,418","5,321","4,948","14,659","16,434","1,321,872","1,324,575","1,316,807","1,318,194","1,321,617","1,323,459","1,326,813"
New Jersey,"169,078","168,467","172,333","167,873","163,049","705,558","727,544","729,099","694,166","683,296","172,440","189,692","218,062","242,578","268,669","73,884","74,034","75,688","79,690","73,472","50,078","51,279","52,652","57,793","53,896","8,663,398","8,707,739","8,799,593","8,821,155","8,867,749","8,899,339","8,938,175"
