weight (pounds),recorded,crop,crop_variety,plants,area,garden unique id,garden state,garden zip code,garden name,garden latitude,garden longitude,gardener unique id
43.00003508,05/31/2015,mustard greens,,,,32a21cce,WA,98115,,,,09c202f6
10.00000816,05/31/2015,collard greens,,,,32a21cce,WA,98115,,,,09c202f6
12.00000979,05/31/2015,peas,,,,32a21cce,WA,98115,,,,09c202f6
7.00000571,05/31/2015,kale,,,,32a21cce,WA,98115,,,,09c202f6
45.00003671,06/30/2015,mustard greens,,,,32a21cce,WA,98115,,,,09c202f6
15.00001224,06/30/2015,peas,,,,32a21cce,WA,98115,,,,09c202f6
12.00000979,06/30/2015,chard,,,,32a21cce,WA,98115,,,,09c202f6
25.00002039,06/30/2015,kale,,,,32a21cce,WA,98115,,,,09c202f6
15.00001224,06/30/2015,collard greens,,,,32a21cce,WA,98115,,,,09c202f6
4.000003263,07/31/2015,peas,,,,32a21cce,WA,98115,,,,09c202f6
4.000003263,07/31/2015,chard,,,,32a21cce,WA,98115,,,,09c202f6
20.00001631,07/31/2015,kale,,,,32a21cce,WA,98115,,,,09c202f6
8.000006526,07/31/2015,collard greens,,,,32a21cce,WA,98115,,,,09c202f6
60.00004894,07/31/2015,zucchini,,,,32a21cce,WA,98115,,,,09c202f6
8.000006526,07/31/2015,Crookneck Squash,,,,32a21cce,WA,98115,,,,09c202f6
2.000001631,08/31/2015,chard,,,,32a21cce,WA,98115,,,,09c202f6
15.00001224,08/31/2015,kale,,,,32a21cce,WA,98115,,,,09c202f6
15.00001224,08/31/2015,collard greens,,,,32a21cce,WA,98115,,,,09c202f6
28.00002284,08/31/2015,zucchini,,,,32a21cce,WA,98115,,,,09c202f6
1.000000816,08/31/2015,Green Beans,,,,32a21cce,WA,98115,,,,09c202f6
17.00001387,08/31/2015,plums,,,,32a21cce,WA,98115,,,,09c202f6
3.000002447,09/30/2015,chard,,,,32a21cce,WA,98115,,,,09c202f6
12.00000979,09/30/2015,kale,,,,32a21cce,WA,98115,,,,09c202f6
2.000001631,09/30/2015,collard greens,,,,32a21cce,WA,98115,,,,09c202f6
11.00000897,09/30/2015,zucchini,,,,32a21cce,WA,98115,,,,09c202f6
